"AUDIO","TRANSCRIPCION","AUDIO_ORIGINAL"
"Tr_2019-08-22_135215-01.wav","no sé quién son","Tr_2019-08-22_13'52'15'.mp3(1)"
"Tr_2019-08-22_135215-02.wav","jugando al fútbol","Tr_2019-08-22_13'52'15'.mp3(1)"
"Tr_2019-08-22_135215-03.wav","que le pinchó la pelota","Tr_2019-08-22_13'52'15'.mp3(1)"
"Tr_2019-08-22_135215-04.wav","porque el el azul lo hizo fuerte","Tr_2019-08-22_13'52'15'.mp3(1)"
"Tr_2019-08-22_135215-05.wav","nada más","Tr_2019-08-22_13'52'15'.mp3(1)"
"Tr_2019-08-22_135215-06.wav","una? había un perro que se enamoró de la perra","Tr_2019-08-22_13'52'15'.mp3(2)"
"Tr_2019-08-22_135215-07.wav","traía un globo se lo pinchó","Tr_2019-08-22_13'52'15'.mp3(2)"
"Tr_2019-08-22_135215-08.wav","después una pelota le? uu a la nena una flor después y se cayó al agua y después se enamoraron","Tr_2019-08-22_13'52'15'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-01.wav","el nene le le pasó la pelota y le pasó por abajo y entonces le pateó y y y llo- y lloró","Tr_ECVA_2019-08-01_09'23'27'.mp3(1)"
"Tr_ECVA_2019-08-01_092327-02.wav","pasó","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-03.wav","un perrito estaba caminando y se enamoró de una perra entonces?","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-04.wav","el perro estaba jugando a la pelota se le cayó y le y y y le? regaló? una flor y y se la uu","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-05.wav","se escondió? rápido","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-06.wav","y se puso? a romper la flor","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-07.wav","y","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-08.wav","se mojó? mucho la flor","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ECVA_2019-08-01_092327-09.wav","y y y estaba enamorada y se fueron","Tr_ECVA_2019-08-01_09'23'27'.mp3(2)"
"Tr_ecva-nv-camila2019-08-22_115917-01.wav","a ese que estaba triste se le se le cayó la pelota se enojó la fue a buscar","Tr_ecva-nv-camila2019-08-22_11'59'17'.mp3(1)"
"Tr_ecva-nv-camila2019-08-22_115917-02.wav","y se pinchó la pelota. y se pinchó la pelota","Tr_ecva-nv-camila2019-08-22_11'59'17'.mp3(1)"
"Tr_ecva-nv-camila2019-08-22_115917-03.wav","es un perrito que uu una perra. no? quería no? quería casarse pero pero mm pero mm pero podía y después se se iban a casa se iban a casa a buscar cosas","Tr_ecva-nv-camila2019-08-22_11'59'17'.mp3(2)"
"Tr_ecva-nv-camila2019-08-22_115917-04.wav","mm después buscó una flor se cayó en el puente se acercó la perra y ahí se casaron","Tr_ecva-nv-camila2019-08-22_11'59'17'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-01.wav","bueno te lo cuento","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-02.wav","era un monstruo","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-03.wav","que no sabía qué hac- qué hacer","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-04.wav","y vino un un otro monstruo y le pateó la pelota acá","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-05.wav","entonces empezaron así a jugar y se le fue la pelota al al o sea el otro monstruo le pateó la pelota y le pasó por acá","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-06.wav","y se le fue. entonces le dijo que la vaya a buscar","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-07.wav","y le dijo a él a él. y entonces él se se fue a buscarla","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-08.wav","y bueno se la pateó así","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-09.wav","y mm","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-10.wav","bueno em así siguieron jugando pero ?- le había hecho un cañito entonces después em eh se enojó y le rompió la pelota","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(1)"
"Tr_Matías_ecva 2019-08-22_14_24_33-286.wav","no, te lo cuento","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-287.wav","era un perrito","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-288.wav","y había una nena así en el árbol con un pajarito en la mano","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-289.wav","y bueno entonces fue y buscó un globo para ella","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-290.wav","después volvió y se le pinchó con el árbol","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-291.wav","bueno volvió de vuelta y sacó una pelota de fútbol","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-292.wav","se fue em","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-293.wav","le pegó a la en la cabeza al perrito o y después se fue y le sacó una rosa y se f- y se fue así y estaba por el puente y se cayó al agua","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_Matías_ecva 2019-08-22_14_24_33-294.wav","y después le dio la rosa así y mm y le ayudó a salir","Tr_Matías_ecva 2019-08-22_14'24'33'.mp3(2)"
"Tr_NENA_2019-09-19_113325-01.wav","había un como? un bichito o algo","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-02.wav","eh después vino otro","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-03.wav","tenía una pelota","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-04.wav","la pelota estaba al lado de él que estaba sentado","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-05.wav","y mm y empezaron a jugar","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-06.wav","hasta que uno eh le le pasó por acá la pelota","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-07.wav","y mm y el y y el mm di- dijo así o sea dijo que vaya a buscarla","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-08.wav","em él dijo que no él dijo que que vaya é- él fue la buscó y después siguieron jugando","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-09.wav","se pinchó la pelota","Tr_NENA_2019-09-19_11'33'25'.mp3(1)"
"Tr_NENA_2019-09-19_113325-10.wav","había un perrito eh caminando se enamoró de una un otra perrita","Tr_NENA_2019-09-19_11'33'25'.mp3(2)"
"Tr_NENA_2019-09-19_113325-11.wav","después empezó mm a hacer cosas para que ella se enamore eh lo lo? pueden?. y mm no se enamoraba hasta que encontró una flor eh para uu eh fue con la flor se la dio a la chica pero se cayó al agua la chica se acercó al agua eh el chico el perrito le dio la flor","Tr_NENA_2019-09-19_11'33'25'.mp3(2)"
"Tr_NENA_2019-09-19_113325-12.wav","y mm","Tr_NENA_2019-09-19_11'33'25'.mp3(2)"
"Tr_NENA_2019-09-19_113325-13.wav","y mm y la y se die- y se y se dieron la mano y el perrito salió del agua y después caminaron el el pajarito los? vio?","Tr_NENA_2019-09-19_11'33'25'.mp3(2)"
"Tr_nene_2019-09-19_120506-01.wav","hay que esperar un poquito","Tr_nene_2019-09-19_12'05'06'.mp3(1)"
"Tr_nene_2019-09-19_120506-02.wav","mm otra vez","Tr_nene_2019-09-19_12'05'06'.mp3(1)"
"Tr_nene_2019-09-19_120506-03.wav","mm yo ayer? fui a la casa de","Tr_nene_2019-09-19_12'05'06'.mp3(2)"
"Tr_nene_2019-09-19_120506-04.wav","antes esos niños estaban jugando a la pelota","Tr_nene_2019-09-19_12'05'06'.mp3(3)"
"Tr_nene_2019-09-19_120506-05.wav","y también estaban jugando y explotó la pelota","Tr_nene_2019-09-19_12'05'06'.mp3(3)"
"Tr_nene_2019-09-19_120506-06.wav","y el otro? y también no lo buscó la pelota","Tr_nene_2019-09-19_12'05'06'.mp3(3)"
"Tr_nene_2019-09-19_120506-07.wav","y tenía que pedirle por porque sí","Tr_nene_2019-09-19_12'05'06'.mp3(3)"
"Tr_nene_2019-09-19_120506-08.wav","estaba aburrido y quería jugar a la pelota","Tr_nene_2019-09-19_12'05'06'.mp3(3)"
"Tr_nene_2019-09-19_120506-09.wav","em quería ver el juego","Tr_nene_2019-09-19_12'05'06'.mp3(4)"
"Tr_nene_2019-09-19_120506-10.wav","el perro paseando","Tr_nene_2019-09-19_12'05'06'.mp3(4)"
"Tr_nene_2019-09-19_120506-11.wav","mm estaba caminando el paseo","Tr_nene_2019-09-19_12'05'06'.mp3(5)"
"Tr_nene_2019-09-19_120506-12.wav","y también vio una chica","Tr_nene_2019-09-19_12'05'06'.mp3(5)"
"Tr_nene_2019-09-19_120506-13.wav","y también l- se hizo","Tr_nene_2019-09-19_12'05'06'.mp3(5)"
"Tr_nene_2019-09-19_120506-14.wav","y se cayó al agua","Tr_nene_2019-09-19_12'05'06'.mp3(5)"
"Tr_nene_2019-09-19_120506-15.wav","y al y también había una pelota","Tr_nene_2019-09-19_12'05'06'.mp3(5)"
"Tr_nene_2019-09-19_120506-16.wav","y tenía un globo","Tr_nene_2019-09-19_12'05'06'.mp3(5)"
"Tr_nene_2019-09-19_120506-17.wav","y también es- y también estaban y él la ayudó","Tr_nene_2019-09-19_12'05'06'.mp3(5)"
"Tr_nene_2019-09-19_120506-18.wav","y cuándo me vas a leer la? historia","Tr_nene_2019-09-19_12'05'06'.mp3(6)"
"Tr_nene_2019-09-19_120506-19.wav","una historia","Tr_nene_2019-09-19_12'05'06'.mp3(6)"
"Tr_nene_2019-09-19_120506-20.wav","la historia","Tr_nene_2019-09-19_12'05'06'.mp3(6)"
"Tr_nene_2019-09-19_120506-21.wav","ah no, el juego","Tr_nene_2019-09-19_12'05'06'.mp3(6)"
"Tr_nene_2019-09-19_120506-22.wav","fuimos al gimnasio y yo no estaba en la clase","Tr_nene_2019-09-19_12'05'06'.mp3(6)"
"Tr_nene_2019-09-19_120506-23.wav","sí antes yo estaba enfermo y yo no no uu. estaba enfermo","Tr_nene_2019-09-19_12'05'06'.mp3(6)"
"Tr_nene_2019-09-19_120506-24.wav","acá uu trabajo con unas bolsas","Tr_nene_2019-09-19_12'05'06'.mp3(6)"
"Tr_NV - ECVA - 2019-08-15_101918-01.wav","el? el el niño estaba y ahí la vio la nena y ahí infló? un globo y se lo explotó y a- y ahí la pelota la pegó en la nena y ahí una flor se enamoraron","Tr_NV - ECVA - 2019-08-15_10'19'18'.mp3(1)"
"Tr_NV - ECVA - 2019-08-15_101918-02.wav","el pajarito ahí? lo vio","Tr_NV - ECVA - 2019-08-15_10'19'18'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-01.wav","son dos monstruos","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-02.wav","y se enoja este","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-03.wav","y el otro también porque lo mandó a buscar. y des- después no encontraron la pelota","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-04.wav","después se hacen feliz otra vez","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-05.wav","porque se la llevó otra vez","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-06.wav","se le se le explota","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-07.wav","después se le va al otro y se le explota","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-08.wav","después se va","Tr_PP_V_2019-07-01_16'02'34'.mp3(1)"
"Tr_PP_V_2019-07-01_160234-09.wav","sí? mirá?","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-10.wav","eh uno estaba durmiendo","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-11.wav","después después se se vino el otro a jugar con él","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-12.wav","a jugar con él","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-13.wav","después estaban estaban jugando. uno le pasó la pelota","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-14.wav","después jugó","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-15.wav","el otro le pasó la pelota. después se la tiró","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-16.wav","y cayó por el otro lado después se enojaron un- se enojó uno después el otro","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-17.wav","y cayó por el otro lado después se enojaron un- se enojó uno después el otro","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-18.wav","y después se explotó","Tr_PP_V_2019-07-01_16'02'34'.mp3(2)"
"Tr_PP_V_2019-07-01_160234-19.wav","esa es Luli o el Tabo","Tr_PP_V_2019-07-01_16'02'34'.mp3(3)"
"Tr_PP_V_2019-07-01_160234-20.wav","le lleva uu","Tr_PP_V_2019-07-01_16'02'34'.mp3(3)"
"Tr_PP_V_2019-07-01_160234-21.wav","el perr- el perrito le lleva le llevó un un globo al a la uu se que se llama","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-22.wav","Luli. a la Luli le llevó un globo","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-23.wav","porque porque la amaba","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-24.wav","se peinó pero se le salió el cabello","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-25.wav","y después se dio cuenta de de que le llevó el el globo a la","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-26.wav","Luli","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-27.wav","y después le llevó la pelota","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-28.wav","por? se explotó","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-29.wav","y le tiró la pelota encima y le ensució la mano","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-30.wav","después le llevó una flor por la por la flor se la dio en la mano","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-31.wav","después Luli llevó llevó allá al cómo se llamaba al al","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-32.wav","sí se cayó al agua y después se cayó en se cayó","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-33.wav","después después la nena le alzó pero le dio la flor","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-34.wav","después de eso","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-35.wav","y él? alzó el Tab- el Tab- el Tabo lo alzó de la mano y lo y corrió. corrió a jugar con él","Tr_PP_V_2019-07-01_16'02'34'.mp3(4)"
"Tr_PP_V_2019-07-01_160234-36.wav","el pollito","Tr_PP_V_2019-07-01_16'02'34'.mp3(5)"
"Tr_PP_V_2019-07-01_160234-37.wav","son cinco pollitos","Tr_PP_V_2019-07-01_16'02'34'.mp3(5)"
"Tr_PP_V_2019-07-01_160234-38.wav","todos los pollos se uu","Tr_PP_V_2019-07-01_16'02'34'.mp3(5)"
"Tr_PP_V_2019-07-01_160234-39.wav","la mamá pollito","Tr_PP_V_2019-07-01_16'02'34'.mp3(5)"
"Tr_PP_V_2019-07-01_160234-40.wav","después se caen los pollos con ella","Tr_PP_V_2019-07-01_16'02'34'.mp3(5)"
"Tr_PP_V_2019-07-01_160234-41.wav","se cayó","Tr_PP_V_2019-07-01_16'02'34'.mp3(5)"
"Tr_PP_V_2019-07-01_160234-42.wav","mi- mirá. vino u- un pájaro, después lo otro el otro le dice a la hermana sí, después le pegó al otro, y se cayó la pelear? después el otro y el otro","Tr_PP_V_2019-07-01_16'02'34'.mp3(6)"
"Tr_PP_V_2019-07-01_160234-43.wav","y después vino una una señora","Tr_PP_V_2019-07-01_16'02'34'.mp3(6)"
"Tr_PP_V_2019-07-01_160234-44.wav","y mm y y mm vio eso a esos polli- digo a esos pajaritos","Tr_PP_V_2019-07-01_16'02'34'.mp3(6)"
"Tr_PP_V_2019-07-01_160234-45.wav","después levantó los pelos","Tr_PP_V_2019-07-01_16'02'34'.mp3(6)"
"Tr_PP_V_2019-07-01_160234-46.wav","y se fue se fue a la rama con con esos pajaritos","Tr_PP_V_2019-07-01_16'02'34'.mp3(6)"
"Tr_PP_V_2019-07-01_160234-47.wav","y después se se puso al lado de esos pájaros los pájaros se hicieron para abajo después la rama se cayó atrás","Tr_PP_V_2019-07-01_16'02'34'.mp3(6)"
"Tr_PP_V_2019-07-01_160234-48.wav","le picaron la pierna","Tr_PP_V_2019-07-01_16'02'34'.mp3(6)"
"Cata segundo intento_250907_151903-01.wav","había una vez un monstruito que estaba muy aburrido. vino un amigo y le consiguió una pelota","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-02.wav","pero él estaba todavía aburrido","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-03.wav","estaba pensando en una cosa que hacer para ayudarlo","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-04.wav","entonces jugaron al tatetí. pero él no quería eso","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-05.wav","volvió volvió y volvió. hasta encontrar la solución y dijo?","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-06.wav","y si le regalo una mariposa? un amigo que le cuide","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-07.wav","él fue","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-08.wav","justo al zoológico","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-09.wav","preguntó","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-10.wav","tendrán una araña para darle","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-11.wav","mm","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-12.wav","le dijeron que sí","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-13.wav","fue a dar uu","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-14.wav","pero no le gustaban las arañas","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-15.wav","fue de nuevo al zoológico y buscó una jirafa","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-16.wav","pero cuando volvió el amigo le preguntó","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-17.wav","por qué necesitás tantas cosas y tan grandes","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-18.wav","no yo no necesito eso","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-19.wav","gracias","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-20.wav","siguió su camino y fue de nuevo?","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-21.wav","y le dijo","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-22.wav","tendrán un perrito","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-23.wav","y él respondió que sí volvió a dárselo a su amigo","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-24.wav","su amigo estaba muy contento","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-25.wav","pero cuando se dio cuenta dijo","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-26.wav","mm está muy lindo pero yo no necesito nada. necesitaba un abrazo","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-27.wav","ah bueno. te doy un abrazo","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_151903-28.wav","fin","recording_Cata segundo intento_250907_151903.webm"
"Cata segundo intento_250907_152047-01.wav","había una vez una conejita estaba por el bosque buscando una zanahoria o una casita","recording_Cata segundo intento_250907_152047.webm"
"Cata segundo intento_250907_152047-02.wav","se puso a investigar. se encontró con un zorro y le dijo allá en esa casita hay una mujer limpiando y siete enanitos. deberás ir ahí así te darán comida","recording_Cata segundo intento_250907_152047.webm"
"Cata segundo intento_250907_152047-03.wav","no se lo digas. por favor uu uu","recording_Cata segundo intento_250907_152047.webm"
"Cata segundo intento_250907_152047-04.wav","siguió su camino y se encontró en la casita","recording_Cata segundo intento_250907_152047.webm"
